frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Feb 23, 2021 20:22:43.990426000 CST",1614133363.990426000,73,1514,1514,0x00000800,4,20,,0x0000ce72,0x00000040,0,1,0,0,64,6,0x00005269,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,4926,1119,1448,32,0x00000010,0,0,0,0,1,0,0,64128,0x0000d973,0,
1,"Feb 23, 2021 20:22:43.990427000 CST",1614133363.990427000,74,646,646,0x00000800,4,20,,0x0000ce73,0x00000040,0,1,0,0,64,6,0x000055cc,10.0.0.43,10.0.0.22,632,0x00000000,80,62733,6374,1119,580,32,0x00000018,0,0,0,1,1,0,0,64128,0x0000c005,0,
1,"Feb 23, 2021 20:22:43.990474000 CST",1614133363.990474000,75,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,1119,6954,0,32,0x00000010,0,0,0,0,1,0,0,127552,0x000033d8,0,
1,"Feb 23, 2021 20:22:43.990514000 CST",1614133363.990514000,76,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,1119,6954,0,32,0x00000010,0,0,0,0,1,0,0,131072,0x000033a1,0,
1,"Feb 23, 2021 20:22:44.051689000 CST",1614133364.051689000,77,125,125,0x000086dd,,,,,,,,,,,,,,,,,443,62685,1,1,39,32,0x00000018,0,0,0,1,1,0,0,269,0x00003c6a,0,
1,"Feb 23, 2021 20:22:44.051693000 CST",1614133364.051693000,78,86,86,0x000086dd,,,,,,,,,,,,,,,,,443,62685,40,1,0,32,0x00000011,1,0,0,0,1,0,0,269,0x0000e810,0,
1,"Feb 23, 2021 20:22:44.051792000 CST",1614133364.051792000,79,86,86,0x000086dd,,,,,,,,,,,,,,,,,62685,443,1,40,0,32,0x00000010,0,0,0,0,1,0,0,7912,0x0000f788,0,
1,"Feb 23, 2021 20:22:44.051793000 CST",1614133364.051793000,80,86,86,0x000086dd,,,,,,,,,,,,,,,,,62685,443,1,41,0,32,0x00000010,0,0,0,0,1,0,0,7912,0x0000f787,0,
1,"Feb 23, 2021 20:22:44.051953000 CST",1614133364.051953000,81,86,86,0x000086dd,,,,,,,,,,,,,,,,,62685,443,1,41,0,32,0x00000011,1,0,0,0,1,0,0,7913,0x0000f785,0,
1,"Feb 23, 2021 20:22:44.077937000 CST",1614133364.077937000,82,86,86,0x000086dd,,,,,,,,,,,,,,,,,443,62685,41,2,0,32,0x00000010,0,0,0,0,1,0,0,269,0x00001547,0,
1,"Feb 23, 2021 20:22:44.257891000 CST",1614133364.257891000,83,125,125,0x000086dd,,,,,,,,,,,,,,,,,443,62689,1,1,39,32,0x00000018,0,0,0,1,1,0,0,422,0x00005acb,0,
1,"Feb 23, 2021 20:22:44.257896000 CST",1614133364.257896000,84,86,86,0x000086dd,,,,,,,,,,,,,,,,,443,62689,40,1,0,32,0x00000011,1,0,0,0,1,0,0,422,0x000056ff,0,
1,"Feb 23, 2021 20:22:44.258034000 CST",1614133364.258034000,85,86,86,0x000086dd,,,,,,,,,,,,,,,,,62689,443,1,40,0,32,0x00000010,0,0,0,0,1,0,0,2047,0x000053fc,0,
1,"Feb 23, 2021 20:22:44.258034000 CST",1614133364.258034000,86,86,86,0x000086dd,,,,,,,,,,,,,,,,,62689,443,1,41,0,32,0x00000010,0,0,0,0,1,0,0,2047,0x000053fb,0,
1,"Feb 23, 2021 20:22:44.258319000 CST",1614133364.258319000,87,86,86,0x000086dd,,,,,,,,,,,,,,,,,62689,443,1,41,0,32,0x00000011,1,0,0,0,1,0,0,2048,0x000053f9,0,
